filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli-pers-7500_llama3-8b_V7_1,2024-05-06_142444,146.592,OK,batch/prompts/eli-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-7500_llama3-8b_V7_0,2024-05-06_142711,150.911,OK,batch/prompts/eli-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-0_llama3-8b_V7_0,2024-05-06_142942,100.217,OK,batch/prompts/eli-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_llama3-8b_V7_0,2024-05-06_143122,121.815,OK,batch/prompts/airidas-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-7500_llama3-8b_V7_0,2024-05-06_143324,145.023,OK,batch/prompts/airidas-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-0_llama3-70b_V7_2,2024-05-06_143549,771.741,OK,batch/prompts/airidas-kano-0_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-pers-29_llama3-70b_V7_0,2024-05-06_144841,74.747,OK,batch/prompts/base-pers-29_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-0_mixtral-8x22b_V7_0,2024-05-06_144956,898.872,OK,batch/prompts/airidas-kano-0_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-pers-0_mixtral-8x22b_V7_2,2024-05-06_150454,962.93,OK,batch/prompts/eli-pers-0_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_mixtral-8x22b_V7_2,2024-05-06_152057,1167.756,OK,batch/prompts/airidas-pers-0_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-0_mixtral-8x22b_V7_0,2024-05-06_154025,780.104,OK,batch/prompts/eli-kano-0_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-pers-4000_mixtral-8x22b_V7_1,2024-05-06_155325,1322.959,OK,batch/prompts/eli-pers-4000_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-4000_mixtral-8x22b_V7_2,2024-05-06_161528,1177.572,OK,batch/prompts/airidas-kano-4000_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-pers-4000_mixtral-8x22b_V7_0,2024-05-06_163506,1318.034,OK,batch/prompts/eli-pers-4000_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-0_mixtral-8x22b_V7_1,2024-05-06_165704,817.308,OK,batch/prompts/eli-kano-0_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
airidas-kano-0_mixtral-8x22b_V7_1,2024-05-06_171041,887.384,OK,batch/prompts/airidas-kano-0_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-pers-static-7500_llama3-8b_V8_2,2024-05-06_172529,27.716,OK,batch/prompts/eli-pers-static-7500_llama3-8b_V8_prompts.json,PersonalitySurvey,True,,
eli-pers-static-4000_llama3-8b_V8_1,2024-05-06_172556,16.056,OK,batch/prompts/eli-pers-static-4000_llama3-8b_V8_prompts.json,PersonalitySurvey,True,,
eli-pers-static-7500_mixtral-8x22b_V8_0,2024-05-06_172612,200.084,OK,batch/prompts/eli-pers-static-7500_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-pers-static-0_llama3-8b_V8_2,2024-05-06_172932,20.221,OK,batch/prompts/eli-pers-static-0_llama3-8b_V8_prompts.json,PersonalitySurvey,True,,
